Country,Clicks,Impressions,CTR,Position
United States,324,45648,0.71%,7.25
India,16,2012,0.8%,9.6
Netherlands,13,827,1.57%,7.45
United Kingdom,12,1748,0.69%,12.2
Canada,10,1454,0.69%,8.49
China,8,78,10.26%,6.17
Denmark,6,74,8.11%,6.82
Germany,5,1012,0.49%,11.63
Turkey,5,308,1.62%,8.1
Switzerland,5,220,2.27%,8.39
Spain,4,496,0.81%,9.76
Philippines,3,380,0.79%,11.17
Argentina,3,185,1.62%,8.28
Malaysia,3,119,2.52%,12.61
Kenya,3,63,4.76%,6.13
Australia,2,433,0.46%,13.71
Vietnam,2,226,0.88%,16.79
Israel,2,219,0.91%,12.25
South Korea,2,203,0.99%,18.83
Ireland,2,150,1.33%,10.14
Saudi Arabia,2,113,1.77%,16.78
Portugal,2,95,2.11%,8.4
Czechia,2,37,5.41%,9.19
Lebanon,2,28,7.14%,5.93
Brazil,1,1074,0.09%,14.45
Belgium,1,848,0.12%,7.12
Italy,1,415,0.24%,10.69
Mexico,1,299,0.33%,10.2
France,1,273,0.37%,10.46
Pakistan,1,231,0.43%,10.41
Poland,1,226,0.44%,7.97
Colombia,1,224,0.45%,10.48
Indonesia,1,151,0.66%,11.56
Russia,1,151,0.66%,22.77
Ukraine,1,149,0.67%,7.93
Singapore,1,132,0.76%,8.47
Hong Kong,1,115,0.87%,10.58
Greece,1,112,0.89%,6.62
United Arab Emirates,1,92,1.09%,8.99
Slovakia,1,73,1.37%,6.93
Ecuador,1,73,1.37%,11.38
Morocco,1,54,1.85%,11.33
Puerto Rico,1,34,2.94%,8.21
Qatar,1,31,3.23%,9.19
Bulgaria,1,25,4%,11.76
Unknown Region,1,16,6.25%,12.25
Macedonia,1,10,10%,5.5
Sweden,0,337,0%,6.54
South Africa,0,262,0%,10.03
Austria,0,186,0%,6.72
Finland,0,152,0%,7.44
Romania,0,152,0%,8.59
Japan,0,137,0%,12.15
Norway,0,126,0%,6.96
Thailand,0,111,0%,9.63
Peru,0,99,0%,9.41
New Zealand,0,79,0%,11.95
Hungary,0,78,0%,11.67
Chile,0,76,0%,14.21
Bangladesh,0,71,0%,13.58
Egypt,0,67,0%,17.78
Taiwan,0,66,0%,13.64
Nigeria,0,63,0%,8.86
Venezuela,0,53,0%,7.11
Iceland,0,53,0%,8.26
Algeria,0,53,0%,16.96
Jordan,0,51,0%,4.04
Croatia,0,46,0%,10.8
Dominican Republic,0,43,0%,10.53
Uruguay,0,42,0%,11.02
Palestine,0,41,0%,3.78
Iraq,0,41,0%,14.88
Nepal,0,38,0%,12.58
Bolivia,0,36,0%,8.28
Trinidad & Tobago,0,36,0%,11.58
Uzbekistan,0,34,0%,13.03
Costa Rica,0,33,0%,5.33
Ghana,0,30,0%,5.93
Jamaica,0,29,0%,8.41
Kazakhstan,0,27,0%,9.59
Tunisia,0,27,0%,9.85
Serbia,0,27,0%,16.44
Luxembourg,0,23,0%,6.74
Iran,0,23,0%,12.35
Sri Lanka,0,23,0%,12.83
Congo - Kinshasa,0,22,0%,6.91
Paraguay,0,21,0%,9.38
Belarus,0,21,0%,18.86
Guatemala,0,20,0%,11.8
Oman,0,19,0%,15.26
Albania,0,17,0%,9.71
Panama,0,16,0%,7.44
Cambodia,0,16,0%,16.38
Estonia,0,15,0%,7.47
Lithuania,0,15,0%,10.27
Latvia,0,15,0%,10.33
Honduras,0,15,0%,18.53
Uganda,0,14,0%,5.93
Ethiopia,0,14,0%,13
Bhutan,0,13,0%,6.92
Georgia,0,13,0%,16.31
Bahamas,0,12,0%,6.83
Syria,0,12,0%,6.83
Tanzania,0,12,0%,7.92
Barbados,0,12,0%,17.75
Slovenia,0,11,0%,7.64
Kuwait,0,11,0%,11.36
Azerbaijan,0,10,0%,18.4
Bosnia & Herzegovina,0,10,0%,24.3
Zimbabwe,0,9,0%,5.33
Cyprus,0,9,0%,7.33
Zambia,0,9,0%,9.89
Namibia,0,9,0%,12.22
Mongolia,0,9,0%,12.33
Moldova,0,9,0%,27
Armenia,0,8,0%,7.88
Micronesia,0,7,0%,5
Nicaragua,0,7,0%,6.71
El Salvador,0,7,0%,13.86
Senegal,0,7,0%,15.57
Bahrain,0,7,0%,16.86
Côte d’Ivoire,0,7,0%,20.43
Kyrgyzstan,0,6,0%,5.33
Cuba,0,6,0%,7.33
Macau,0,6,0%,9.83
Rwanda,0,6,0%,22
Guam,0,5,0%,7.2
Libya,0,5,0%,13.2
Malta,0,5,0%,18
St. Kitts & Nevis,0,4,0%,5.5
Guyana,0,4,0%,7.5
Belize,0,3,0%,3.67
Cayman Islands,0,3,0%,6.33
Tajikistan,0,3,0%,6.33
Cameroon,0,3,0%,6.67
Guernsey,0,3,0%,6.67
Montenegro,0,3,0%,7.33
Madagascar,0,3,0%,7.67
Myanmar (Burma),0,3,0%,7.67
Mozambique,0,3,0%,12
Malawi,0,2,0%,2
Botswana,0,2,0%,2.5
Maldives,0,2,0%,2.5
Gibraltar,0,2,0%,4
British Virgin Islands,0,2,0%,4.5
Antigua & Barbuda,0,2,0%,5
Somalia,0,2,0%,5
Andorra,0,2,0%,6
Laos,0,2,0%,6.5
Seychelles,0,2,0%,6.5
Kosovo,0,2,0%,6.5
Gambia,0,2,0%,7
Swaziland,0,2,0%,8
Curaçao,0,2,0%,9.5
Jersey,0,2,0%,11
Brunei,0,2,0%,11.5
Afghanistan,0,2,0%,14
Yemen,0,2,0%,15
Mali,0,2,0%,17
Turkmenistan,0,2,0%,33.5
Gabon,0,2,0%,44.5
U.S. Virgin Islands,0,2,0%,48.5
Isle of Man,0,1,0%,1
Suriname,0,1,0%,1
Samoa,0,1,0%,1
Angola,0,1,0%,4
Cook Islands,0,1,0%,5
Djibouti,0,1,0%,5
Turks & Caicos Islands,0,1,0%,5
New Caledonia,0,1,0%,6
Solomon Islands,0,1,0%,6
Sierra Leone,0,1,0%,6
Liberia,0,1,0%,7
Mauritius,0,1,0%,7
Sint Maarten,0,1,0%,8
Cape Verde,0,1,0%,9
Haiti,0,1,0%,9
Liechtenstein,0,1,0%,9
Réunion,0,1,0%,9
St. Lucia,0,1,0%,10
American Samoa,0,1,0%,11
Mauritania,0,1,0%,19
Fiji,0,1,0%,20